merchant_id,merchant_legal_name,merchant_dba_name,state,tax_id,mcc_code,website_url
lRraRWq26474141,Carroll PLC,Campbell and Sons,Massachusetts,88-6505803,5532,http://www.macias.com/
hLnTRLO08716388,"Thomas, Miller and Davis",Vargas and Sons,Oklahoma,20-8963829,7273,https://www.gutierrez.com/
GcHBTCR81757601,Curry-Martinez,Anderson PLC,Colorado,52-2159163,7994,http://www.rodriguez.biz/
NXZDsKp51773131,Allen and Sons,Reeves Ltd,New York,64-3059586,5532,https://wright.com/
ynMhDkE18256651,Saunders LLC,Nichols and Sons,Nebraska,31-8975884,5411,http://www.martinez-mueller.com/
AOGCuCt33460749,"Mcgee, Patterson and Stewart",Fletcher PLC,Georgia,21-8644997,5651,https://www.hooper.com/
XwdnXev55887740,Clark Ltd,Gray Inc,Ohio,63-5422674,7994,https://mcgee.com/
VpPZHSX77134125,"Wright, Shields and Miller",Coleman Group,Florida,93-7474842,4511,https://fisher-moore.com/
CRFDqtg67039336,Huffman Ltd,Hansen and Sons,Pennsylvania,72-2046881,7995,http://www.brown.com/
FmRUidn09358271,Beck Group,Sanders LLC,Nevada,56-1618062,4511,https://gibbs.org/
NUwDSLE78884587,Garcia PLC,Miller PLC,Maine,63-1124683,5532,http://erickson.org/
zzHBIQM51083278,"Warren, Thomas and Smith",Lopez Group,Michigan,11-3830452,7273,http://green.com/
vlKsMxE20765133,Brown-Joseph,Mccoy PLC,Nebraska,13-0507945,5411,https://www.garza.com/
CAFyjhO86876129,Rogers Ltd,Flores Inc,Louisiana,38-2021533,5651,https://www.hendricks.com/
cHXvKct89953120,Compton Inc,Dillon LLC,Connecticut,67-0537079,5734,http://king.com/
OChZGKE31342414,Martin-Jones,Castillo Group,Rhode Island,46-2367427,5968,http://www.ochoa.com/
XvbUFRK74821517,Young-Walker,Hill Inc,Texas,44-9844562,5651,https://www.mccullough.com/
wEdBuSI19662714,"Hamilton, Romero and Martin",Carrillo and Sons,New Hampshire,77-6241716,7994,https://lowe.com/
FyUVEaQ21999391,Walsh-Smith,Jackson Group,Oregon,64-2698215,5734,https://white-wagner.com/
OWcAYsB30039878,Bass-Parker,Carlson Ltd,Wisconsin,83-6956025,5734,https://nelson.com/
EbPRnEx39226868,Cordova-Rojas,Henry LLC,Maine,51-8122042,5532,https://smith.com/
jlwDxbq64308132,Taylor Group,Long and Sons,Vermont,57-0050724,5734,https://ponce-lucas.info/
jZQqFCB31492662,Harris PLC,Hernandez Ltd,North Carolina,11-8074630,5812,http://www.thomas.net/
MyNEMpQ86417939,"Walker, Pope and Cannon",Sanchez and Sons,Washington,34-8841295,5921,https://hunt.net/
JUBIgyw98258173,Newton and Sons,Cook Group,South Dakota,92-3953153,5968,https://oconnor.com/
MzbQmns19980684,Wheeler PLC,Hardy Inc,Ohio,60-7779566,7273,http://www.bates-hamilton.net/
ACQToSM10767778,Jones-Forbes,Lucero Inc,Minnesota,87-7345865,5734,https://herring.com/
qiyhdTp05374062,Hernandez PLC,Schwartz Group,Illinois,59-5875112,4511,http://rodriguez.biz/
xElqDzn13294063,"Pierce, Alvarez and Hernandez",Sanders Ltd,North Dakota,51-0579156,5812,http://tran.com/
ZLGBBRS38580099,"Martin, Terry and Adams",Salinas LLC,Vermont,03-5481677,4511,http://johnson.com/
pysNKzg59754345,"Brown, Porter and Hull",Jacobs Group,New Jersey,25-2508174,7273,http://www.patterson.com/
iDXxVdE53300270,Ballard-Terrell,Carr Ltd,Nevada,86-4080844,4511,http://king.net/
WcFvadb69016812,Carr-Townsend,Williamson Inc,Minnesota,56-8887605,5812,https://www.english.com/
igtVINt45565232,Wang-Lopez,Solis PLC,Oregon,57-1432675,5734,https://greene.net/
awVQRWB15695907,"Wood, Brown and Franco",Short and Sons,Nebraska,21-1068749,7995,http://williams-roman.com/
HjeruiI17306993,Small-Trujillo,Aguilar PLC,Oregon,60-2264194,5734,http://www.lopez.com/
VgKgjPA85056083,Baker Ltd,Payne Ltd,North Dakota,86-7063855,5651,https://walls.com/
eNXlFPd09386547,"Benton, King and Ellis",Moreno Inc,Michigan,61-6384786,5921,http://www.hodge.com/
xagiXRX56094461,"Walker, Cook and Butler",Fuller Group,Nevada,11-6041144,7994,http://smith.com/
KSpLgMt76578937,Adams-Murray,Walter PLC,Arizona,33-5462769,5411,http://www.gibbs.biz/
FeWXtlq09102764,"Pearson, Jackson and Garcia",Li PLC,Arkansas,23-7329211,7273,https://www.washington.net/
qxkpFIX13309831,Clark Group,Robinson and Sons,West Virginia,32-8639821,4511,https://hernandez.net/
dTxJKQw66805800,"Molina, Stephens and Murphy",Collier Inc,Colorado,50-4522446,5651,http://fernandez-castro.com/
HZhwQWO77949148,Friedman LLC,Patterson Inc,Rhode Island,91-5723129,5651,https://www.davis-smith.biz/
xsYuQvp56266688,"Cohen, Robinson and Velazquez",Crawford Group,Mississippi,92-5908856,5532,http://www.perez.com/
rGtNPgH38162266,"Myers, Collins and Tanner",Dunn and Sons,Montana,36-5622911,5812,http://gonzalez.com/
CakFGsE13135611,Phillips Group,Spence PLC,Illinois,67-2865729,5651,http://www.oneal.biz/
IvQHrQm19682258,Lewis Ltd,Potter Ltd,Utah,75-5107197,5734,http://griffin-johnson.info/
wAvCFLK39729617,Cruz PLC,Villanueva Ltd,Maine,42-2505380,5734,https://www.hunter.com/
xiGBptJ45519241,Smith-Estes,Kirk Inc,Texas,67-0804545,5651,https://kent.com/
grBRgyR75201569,Chaney-Bell,Wells and Sons,New Mexico,64-8685686,4511,https://www.harvey.info/
xEPgQtw81090719,Collins LLC,Garcia PLC,Vermont,55-5484333,5411,http://reyes.info/
qpHHeyI29661808,Moreno-Mathews,Reeves and Sons,Tennessee,03-9974289,7995,http://french.biz/
QaqwTUh44503006,"Bishop, Williams and Miller",Palmer and Sons,Indiana,10-0478591,5921,http://holloway.info/
dqnjPyc22373695,Richards-Green,Hall and Sons,Massachusetts,25-2756583,5734,https://lawrence-williams.com/
RQwZNLB39734513,Thomas-Brown,James Inc,Virginia,04-9423179,7995,https://www.scott-smith.com/
MNfSmBx14316411,Collins-Williams,Davidson and Sons,Vermont,56-4840806,5968,http://williams.net/
DMNmIPM92238435,Bradshaw-Turner,Liu PLC,Oregon,30-2610695,5734,https://www.olson.org/
gkGXZGR49775655,"Lambert, Carney and Harris",Lopez Group,Nebraska,64-5822641,5411,https://www.miller.com/
YnPXRYq22133875,Jones LLC,Mclaughlin and Sons,Michigan,45-5562426,7995,https://hunter.biz/
ncNmvSp83825254,Thompson-Brown,Brown and Sons,Utah,45-6371588,5651,https://www.benton-cummings.org/
gbIcQec24715756,Fuentes and Sons,White Inc,Virginia,24-3517319,7995,https://white.org/
gqikAoO83232854,Gutierrez Ltd,Anderson LLC,Kentucky,50-3404305,5411,https://www.brewer-adams.com/
ZcXfRhO96787788,Juarez-Garcia,White PLC,Maryland,32-3283164,5968,http://morgan.biz/
cvCfKDp90336931,Gonzalez PLC,Garcia LLC,Michigan,53-2309314,5532,https://fowler-martin.biz/
oaNNWNI02356409,Hicks-Spence,Greene LLC,Alabama,73-9406695,5734,https://esparza.com/
ryhlpQf81919487,"Dominguez, Smith and Thomas",Davis LLC,Delaware,75-5483970,7273,https://www.clark-harris.com/
BGBZIxI70289966,"Adams, Jones and Cruz",Mcintyre Inc,Virginia,61-5948048,7994,http://gilbert.org/
CFeQcnR65431055,Murillo and Sons,Murray PLC,Nebraska,06-9348678,5651,https://hayes.net/
rXvkVgk43423149,Mann-Sanford,Kelley Inc,Nevada,24-0082123,5411,http://www.nelson.org/
wYdJwaQ91514140,Padilla Ltd,Adams Ltd,Louisiana,27-6736712,5411,http://jones-white.biz/
svnMUza47254392,Martinez-Johnson,Best Group,Maine,95-4638006,4511,http://young.biz/
KgJPJgk85276820,Parker Group,Price LLC,Hawaii,82-0656409,7273,https://www.smith.org/
eeEvPnp09635159,Gonzales and Sons,Lambert LLC,Indiana,39-8369442,5651,https://www.price.info/
fFicRhu75872537,Allen Inc,Smith and Sons,Michigan,58-9653338,7995,https://gallagher-hendricks.com/
GoNsIWY33115196,"Turner, Thomas and Douglas",Gonzalez LLC,Maryland,36-0295576,5651,http://www.richmond.com/
FfnztAT31565366,Murphy Ltd,Reilly LLC,Hawaii,32-8640901,5532,http://www.keith.com/
nTqMAwC48529799,Stewart-Allen,Davidson LLC,Idaho,22-8324825,5921,http://smith-hamilton.com/
qDGnaCv23154024,Rodriguez and Sons,Thomas Ltd,Alaska,33-4518821,4511,http://glenn.com/
DjUelzq26963642,"Edwards, Mitchell and Hughes",Barnes Ltd,Wyoming,73-7272916,5651,https://mendoza-foley.com/
noiFNXJ69863013,"Lang, Higgins and Avery",Cain Group,Alabama,30-6996666,5532,https://www.knight.com/
BhAVcYn91851475,"Campbell, Fry and Villegas",Hernandez Inc,Nebraska,77-3085739,5968,http://edwards.com/
NmkUvCH09661592,"Williams, Payne and Rogers",Dyer Group,Oregon,02-3208313,5411,http://www.fitzgerald-sosa.com/
oHOxOKv12027302,"Brennan, Davis and Mcdaniel",Watkins and Sons,Arizona,71-2557689,7994,http://www.clarke.com/
egShpOW82339895,"Aguilar, Hines and Harrison",Pope PLC,Texas,68-2639626,5532,https://baird-dunlap.com/
XyZWAvg36084229,Scott-Green,Hicks LLC,New Jersey,43-3321112,4511,http://wilkins.net/
GSCjdlL14849919,"Miller, Clark and Malone",Holmes and Sons,Tennessee,36-9814872,5812,http://riley.com/
aDWrKvd17963305,Campbell-Bradford,Jackson Inc,Pennsylvania,30-9569405,7995,http://www.meyer.com/
dHVHXvh61693624,"Pearson, Hall and Allen",Garcia Group,Alabama,50-8099676,5921,https://www.sanchez.com/
xYInHwf26594152,Young-Snyder,Jones Inc,Nebraska,45-4664721,4511,https://hill.com/
HXRvRhg90102915,"Richardson, Miller and Martinez",Blackburn Inc,Maine,59-0765745,7995,http://www.wood.org/
dIhiSpv68289014,Perez-Miller,Simpson Group,Montana,10-2396787,7994,https://www.hoffman-white.net/
eNmIotF88478718,"Villanueva, Burgess and Bailey",Davis Ltd,Wisconsin,41-7957785,5968,http://www.peters.com/
VtVobrW31148241,Parker-Bradley,Patel PLC,Maine,25-5496993,5734,https://www.riley-copeland.com/
prxadqg01976893,"Cox, Estrada and Gonzalez",Williams Inc,New Hampshire,59-6546329,5532,http://hughes.biz/
MHFiHtX68464820,"Sellers, Mcclure and Hunt",Nichols PLC,Montana,92-2343557,5812,http://mosley-brown.com/
XKAmPzj72477213,Mann PLC,Jones Inc,Texas,43-9801474,5968,https://www.fitzgerald-moore.com/
HypCigS19017066,"Leon, Buchanan and Johnston",Kirby PLC,Kentucky,10-5112444,5651,https://www.benson-davis.com/
uzyADgv65656416,Mejia-Blackburn,Maddox Inc,Florida,05-8290443,7995,http://www.barker.net/
ZAlxUvi93596792,Stevens-Miller,Johnson Ltd,Kansas,33-5825338,4511,https://www.butler.net/
MQFIxni30434229,Vazquez Inc,Brown and Sons,Iowa,88-9129037,5734,http://www.smith.biz/
vBvVajw58490140,Kelley-Johnson,Stevenson PLC,Arizona,93-5451010,7273,http://www.stark.com/
HWmXHAr63691991,"Webster, Lopez and Anderson",Willis Group,Colorado,62-3252281,5532,https://levy.info/
NgwrTIO52969426,"Murray, Fernandez and Daniel",Powers LLC,Connecticut,24-4325544,5532,https://www.goodwin-kennedy.com/
kqsIfIV08755056,"Golden, Petty and Patel",Nicholson Group,New Hampshire,80-9927432,4511,https://www.perez.com/
tkbgprN93870741,"Clarke, Garrison and Lewis",Mercer Ltd,Idaho,83-1260988,7994,https://www.myers-collins.net/
EoodGQK63572362,Allen LLC,Frank LLC,Montana,76-4753188,7995,http://www.bray.org/
DZTQmdY54968617,Knight-Smith,Oliver Ltd,Washington,87-8404704,4511,https://barnes-marshall.org/
UkuESzi95110356,Brown Ltd,Garrett Inc,Georgia,81-0433545,5734,https://dickson.com/
cxUCkFx44415663,Moore-Wilkerson,Berg Inc,Hawaii,21-7566552,7273,https://www.lewis.info/
aQnjUrH01376072,"Lee, Parsons and Perez",Owens Group,Mississippi,63-8246557,5532,https://hughes-gardner.com/
PJMGJUc24148426,Alexander-Alvarez,Schultz LLC,Nevada,54-8886144,5651,https://watson.org/
IRiPNQJ24279346,Davis-Reed,White PLC,New York,35-5473356,7995,http://www.owens.com/
AXmLCQU44877747,Finley Inc,Lee PLC,Ohio,66-3004050,7994,https://rush.net/
RSbQuEI88674205,Powell-Thomas,Jones and Sons,Kentucky,62-5544187,7273,http://ingram-reed.com/
GPENdIV21413829,"Jordan, Hicks and Edwards",Rodriguez Ltd,Kentucky,65-6876289,5921,http://www.smith-miranda.com/
xSklyte93967015,"Anderson, Cooley and Frye",Brooks and Sons,Vermont,91-6061518,4511,https://gillespie.biz/
fnPfGdd83202271,Miller LLC,Burke Inc,Arizona,82-4261672,4511,https://ward-cohen.com/
miQTeJY43282391,"Allen, Myers and Cain",Riddle PLC,North Dakota,40-6011739,5411,http://burke-hess.info/
BjEgPmD32975845,Garrett LLC,Melendez Group,South Carolina,81-4640773,5411,https://www.brown.org/
szUvGIK47830626,"Tran, Thompson and Adams",Malone Group,Kansas,14-2387550,7273,https://www.hickman.com/
jiclWev93909811,"Davis, Taylor and Cohen",Gomez and Sons,Missouri,77-4678965,5411,http://larsen-espinoza.com/
ExeNdWc23700877,Thompson Ltd,Jordan Group,Kansas,45-7789563,5532,https://www.simmons.net/
noIQZwZ46431032,Sanchez-Espinoza,Benjamin Group,Kansas,11-5964717,5921,https://www.oliver.com/
nfiRQfj59968224,Cisneros-Diaz,Mason PLC,North Dakota,34-2825308,5411,http://www.stephens-adams.com/
NTRUUPP57067077,Skinner LLC,King Ltd,Michigan,47-7866777,5411,https://garcia.com/
kyZsuMU68731024,Mercado-Armstrong,Ramirez Group,North Dakota,45-6227399,4511,http://www.mcbride.com/
RlSZEwc58587263,Henry Inc,Obrien Group,Maryland,32-1852930,7995,http://www.pierce.com/
KFcyPNu88073664,"Page, Smith and Gross",Mccoy PLC,Montana,95-4481153,5651,http://www.gutierrez-lopez.com/
RcacIil02111870,Mcneil LLC,Young Ltd,Hawaii,06-9089764,5968,http://odom-williams.org/
afsEIlq80466171,Summers-Prince,Austin Inc,Wyoming,22-8172000,7994,http://www.barnes-brown.biz/
DmhBbpw88857602,Hernandez LLC,Yoder LLC,Alabama,60-3342751,5651,http://fitzpatrick.com/
tyIAyDz24169456,"Randolph, Dennis and King",Mendez Inc,Louisiana,30-8472953,4511,https://www.smith.com/
UgbWEpG37437847,Lee and Sons,Thomas Ltd,Texas,83-3741615,7273,http://deleon-berger.com/
hEFzxDI33450154,Lutz-Kim,Williams Ltd,Arkansas,05-0318735,7273,https://www.moreno.com/
GQKfsdi47939334,Waller-May,Price and Sons,Colorado,50-5832460,7995,https://www.smith.com/
imFdQVI75131838,Hill-Price,Cantu LLC,Alaska,20-3322556,5651,http://www.richardson.com/
uDceEZC84293264,Perez Group,Guerrero Inc,Arkansas,64-6062488,5411,http://reed.org/
IjykPPE71279310,Edwards-Sweeney,Glass PLC,Rhode Island,93-0004433,4511,https://www.wilson-hamilton.biz/
lJKifTb09566118,Edwards-Jordan,Robinson PLC,Kansas,03-9817369,5532,https://hinton.biz/
LgHRzhQ31492896,Flores-Foster,Reynolds LLC,Massachusetts,44-9923072,7994,https://sutton.org/
mZwIdQS92558300,"Arnold, Stevens and Sullivan",Odom and Sons,Kentucky,46-1625187,4511,http://roberts.net/
GYnsdFL31927277,"Sims, Lopez and Case",Shaw PLC,Colorado,59-7949535,4511,http://wade-wilson.com/
FtuDWqg40207361,Sims-Jones,Nelson PLC,Alabama,03-1043031,5411,http://www.perez.com/
fUpYXPK14890401,Rodriguez Ltd,Fields Ltd,California,88-2516508,7995,https://adams.info/
JKgxSOI64561846,"Poole, Clark and Sanders",Murphy Group,Maryland,74-0746523,5411,http://murray.com/
wBhKEIO90833826,"Gray, Eaton and Taylor",Powell Ltd,South Carolina,88-1982728,5532,https://www.love.com/
xMCCQuM86657486,Henry-Olson,Holt Ltd,North Carolina,03-0658289,4511,https://oconnor.net/
rDXsSfQ23373393,"Thompson, Jimenez and Porter",Cabrera Group,Arkansas,67-4125253,4511,https://smith-paul.com/
aOvGZCR21732133,"Silva, Lindsey and Romero",Clay and Sons,Virginia,27-9872092,5651,https://sanders-sherman.com/
ULUeSRM88837079,"Smith, Anderson and Cohen",Banks LLC,West Virginia,45-3772324,5411,https://miller.info/
TCWXksN08486711,"Welch, Poole and Bennett",Scott Group,Mississippi,10-4204563,5921,http://welch.biz/
JQFdfTp72408962,Boone LLC,Baxter Group,Nevada,67-1037931,5921,http://www.marshall.com/
MJQbjlf99920718,Garcia PLC,Aguilar Group,Arizona,50-0586312,5812,http://rodriguez-mclean.com/
AwxtufZ73417414,Mullen and Sons,Mahoney LLC,Mississippi,90-1258195,5411,https://harvey.com/
GzvbdCs03633864,Clark-White,Lara Ltd,Alabama,12-9506946,5411,http://hall-green.com/
nqetYvj66967781,Vaughan-Hill,Zuniga LLC,Wyoming,88-1087632,7995,https://www.lowery-duncan.com/
MjMTqOU35184063,Cox-Chan,Harris Group,Colorado,10-0579459,5921,https://www.patterson.com/
ZkPbxdM84709819,Chaney and Sons,Allen Ltd,West Virginia,26-4091546,5411,https://www.aguilar-robinson.net/
KVgiGXV65711924,Smith Inc,Patterson and Sons,Wisconsin,82-1890368,5411,http://www.cox-perry.org/
FNZfgEj17761960,"Rush, Camacho and Young",Bautista Ltd,Massachusetts,86-2061416,5411,http://www.clark-bullock.com/
SObXrTS56287245,Andrews Inc,Adams Group,Texas,75-1510914,5651,https://www.wade.com/
yiMFanH44682163,Castaneda-Mitchell,Delacruz Ltd,South Dakota,99-7368703,5812,http://www.martin.com/
Vfkvqgs26378368,Kidd-Peck,Strickland PLC,Louisiana,73-5824562,5532,http://owens-horton.info/
DLtQUcy64344105,"Morris, Campos and Robinson",Riley Ltd,Florida,43-5014814,7273,https://www.acosta-wilson.org/
ZqFiTIY55089775,Manning Ltd,Hayes Group,Nevada,31-5809563,5968,http://www.patterson.com/
ksHqLiB77149487,Bailey PLC,Savage Ltd,Utah,39-0097409,4511,https://anderson.com/
GlkcLiw82078098,Sims Inc,Lucas PLC,Louisiana,25-3280451,7995,https://cunningham-lewis.com/
fbaYRkk79299025,Harper-Middleton,Taylor LLC,New Jersey,87-9573537,5651,http://vazquez.com/
JaPDEPc26032240,Hall PLC,Garcia Inc,Minnesota,10-6371808,7994,https://www.james-hunter.net/
wfXliPG95920851,Hendricks-Rivers,Smith PLC,Pennsylvania,94-7662433,5734,https://garcia.com/
pEiSwNR59036487,"Waters, Fischer and Thomas",Guzman Group,North Carolina,44-8743248,5411,http://hale.info/
SWvRNMW86715429,Pratt-Miller,Perkins Group,Texas,75-0865924,5734,http://greene.com/
jhOElmr35336359,Rosario Ltd,Miller LLC,Ohio,83-7279463,7995,https://www.lucero.com/
tjhhSHW38706115,"Oliver, Morgan and Scott",Fletcher Inc,South Carolina,25-6482885,5411,https://alvarez.biz/
nYCqbWV66481431,Graves PLC,Payne Inc,Connecticut,01-6876293,5921,http://www.hill.com/
