application_id,merchant_id,application_date,monthly_volume,requested_limit,average_ticket_size,owner_credit_score,years_in_business,previous_chargeback_ratio,kyc_status,kyb_status,tmf_list
APP-308724,JdLJJvQ11116152,2025-04-03,10000,12000,6029.17,755,10,0.66,Passed,Passed,False
APP-839071,KoZBJXN73158514,2025-11-23,10000,12000,5870.47,435,0,0.0,Failed,Passed,False
APP-125798,yADvkxt96120183,2025-12-10,25000,30000,63.83,595,10,0.78,Passed,Passed,False
APP-691024,sRRLFHQ64381561,2025-11-07,10000,12000,7144.57,837,10,0.71,Passed,Passed,False
APP-982724,ezVcBbD22683885,2025-04-17,10000,12000,62.93,758,4,0.42,Passed,Passed,False
APP-952076,zHfztVv75161369,2025-07-28,10000,12000,1289.96,752,10,0.39,Passed,Passed,False
APP-152831,WWPelXO31243292,2025-02-02,10000,12000,320.26,759,0,0.0,Passed,Passed,False
APP-977895,CcdxseP49058147,2025-02-08,25000,30000,5535.06,782,4,0.26,Passed,Passed,False
APP-650180,HHNkxxs51820377,2025-01-20,25000,30000,4722.04,618,4,0.14,Passed,Passed,False
APP-440277,iMTftJy25192546,2025-05-23,100000,120000,807.22,837,5,0.59,Passed,Passed,False
APP-123162,YgGXIVH57332214,2025-05-04,25000,30000,8251.99,806,0,0.0,Passed,Passed,False
APP-751000,ZYEmxRK79473834,2025-03-20,25000,30000,397.24,748,1,0.75,Passed,Passed,False
APP-685743,GjBfoCw18141247,2025-08-02,10000,12000,71.15,753,3,0.66,Passed,Passed,False
APP-738471,Nafbqnj22047277,2025-09-29,10000,12000,24.83,762,3,0.97,Passed,Passed,False
APP-845816,BaNwpKA98089324,2025-03-24,25000,30000,5968.71,831,4,0.37,Passed,Passed,False
APP-021291,VWvicwI40515319,2025-07-15,100000,120000,785.47,756,5,0.74,Passed,Passed,False
APP-363725,qcWPmsw30548687,2025-10-29,100000,120000,365.67,786,3,0.33,Passed,Passed,False
APP-129803,IsugfuQ84161692,2025-12-15,100000,120000,42.26,677,5,0.22,Failed,Passed,False
APP-102623,RYCciep16582029,2025-06-10,10000,12000,950.67,717,10,0.13,Passed,Passed,False
APP-506748,hqXqTCn31027868,2025-09-21,50000,60000,14.23,701,10,0.57,Passed,Passed,True
APP-252292,pYFbxJK22583132,2025-04-29,50000,60000,5821.64,745,4,0.11,Passed,Passed,False
APP-654763,lXiBGdh17785289,2025-10-24,25000,30000,657.8,803,4,0.67,Passed,Passed,False
APP-691455,QNUMvKc81829922,2025-11-25,50000,60000,7156.37,797,1,0.56,Passed,Passed,False
APP-036535,CAEDnvM73647102,2025-12-31,25000,30000,1744.18,670,6,1.1,Passed,Passed,False
APP-423724,pkuKUum32104696,2025-06-09,100000,120000,343.99,745,1,0.58,Passed,Passed,False
APP-762267,gBiqUxW04797480,2025-05-23,25000,30000,62.66,799,6,0.75,Passed,Passed,False
APP-747904,xWjmMGz91216558,2025-10-21,25000,30000,811.45,719,1,0.45,Passed,Passed,False
APP-522420,EbxvRhA95888794,2025-05-12,100000,120000,972.03,791,5,1.06,Passed,Passed,False
APP-642549,uAjASnA23091307,2025-06-14,100000,120000,177.12,797,9,0.31,Passed,Passed,False
APP-064371,prJtotX85854973,2025-08-14,50000,60000,4246.3,733,1,0.1,Passed,Passed,False
APP-603489,VEnmIrJ24041574,2025-06-27,100000,120000,192.96,798,1,0.35,Passed,Passed,False
APP-311601,PmWsusP12082677,2025-05-08,25000,30000,6147.64,737,2,0.58,Passed,Passed,False
APP-539952,vsDPIHF24004991,2025-12-05,100000,120000,8044.0,750,5,0.28,Passed,Passed,True
APP-154240,zQgliEu32966851,2025-02-04,100000,120000,33.26,734,9,0.37,Passed,Passed,False
APP-043790,NooiEjD42684145,2025-09-14,100000,120000,3827.65,847,6,0.78,Passed,Passed,False
APP-680883,HChRnTL88398225,2025-05-04,100000,120000,4285.14,706,9,0.24,Failed,Passed,False
APP-558364,SeIdeEc40391065,2025-04-28,100000,120000,65.84,777,1,0.67,Passed,Passed,False
APP-875979,UoaWbtD25128682,2025-07-26,100000,120000,1665.69,614,9,0.44,Passed,Passed,False
APP-742542,MRTdpVc03311907,2025-08-19,10000,12000,198.43,802,3,0.56,Failed,Passed,False
APP-043682,LVlORBJ28364408,2025-10-19,10000,12000,10.74,756,4,0.26,Passed,Passed,False
APP-568497,AAJHiyp73342708,2025-11-20,25000,30000,4104.71,775,0,0.0,Passed,Passed,False
APP-850786,anmVhVW39837354,2025-11-28,25000,30000,4134.96,812,5,0.42,Passed,Passed,False
APP-725308,nxuAcKo45877175,2025-02-09,10000,12000,829.17,762,1,0.12,Passed,Passed,False
APP-808678,iUIFlIP54777252,2025-09-04,100000,120000,9626.16,801,3,0.66,Passed,Passed,False
APP-945119,baIJAab87509977,2025-11-26,100000,120000,4499.52,726,3,0.24,Passed,Passed,False
APP-246719,SotRfPP46156793,2025-08-14,25000,30000,511.8,799,4,1.19,Passed,Passed,False
APP-275237,rceRrIK91803397,2025-11-25,100000,120000,6556.26,734,10,0.59,Passed,Passed,False
APP-002959,BoevMXN56218501,2025-08-22,50000,60000,724.09,824,8,0.37,Passed,Passed,False
APP-351875,yTYOjVy19431142,2025-06-15,25000,30000,48.84,791,7,0.3,Failed,Passed,False
APP-532093,MMYuyas86101581,2025-05-18,100000,120000,967.45,813,8,0.56,Passed,Passed,False
APP-301446,YexqpUO21264647,2025-04-10,25000,30000,30.45,826,4,0.26,Passed,Passed,False
APP-197294,zusVSOF24593752,2025-01-26,50000,60000,587.84,812,0,0.0,Passed,Failed,False
APP-036758,TBYyeCM16724342,2025-12-14,25000,30000,3679.38,789,0,0.0,Passed,Passed,False
APP-693289,agqoGVH29096561,2025-04-08,10000,12000,798.07,809,3,0.25,Passed,Passed,False
APP-117130,EwEgCUS12545738,2025-10-01,25000,30000,66.38,774,9,0.35,Passed,Passed,False
APP-709718,mCLByaT36226609,2025-04-07,10000,12000,222.03,733,6,0.74,Passed,Passed,False
APP-790877,wwDNlRT85969691,2025-10-19,100000,120000,5405.13,723,9,0.54,Passed,Passed,False
APP-373169,SPlJkFs92966278,2025-10-18,50000,60000,509.23,817,7,0.33,Passed,Passed,False
APP-759274,croIskX77219034,2025-06-01,100000,120000,296.05,840,6,0.68,Passed,Passed,False
APP-010069,wfChXZp36134074,2025-11-29,50000,60000,9047.39,817,0,0.0,Passed,Passed,False
APP-774009,sKrGRgi58498254,2025-09-09,100000,120000,1006.08,740,6,0.24,Passed,Passed,False
APP-018325,OYXfzGV72946671,2025-08-18,50000,60000,3253.5,759,5,0.57,Passed,Passed,False
APP-661806,vJKiKFY63637454,2025-02-04,25000,30000,5291.26,787,2,0.52,Passed,Failed,False
APP-853700,fxQPkdz32424154,2025-07-02,25000,30000,5299.3,776,3,0.37,Passed,Passed,False
APP-010222,oyfUZgg00516271,2025-09-22,25000,30000,54.91,812,10,0.2,Passed,Passed,False
APP-268390,LUywBuY69731121,2025-04-27,100000,120000,654.47,850,7,0.7,Passed,Passed,False
APP-011816,FOMeHax64037613,2025-07-26,25000,30000,27.35,706,10,0.16,Passed,Passed,False
APP-491067,OIINjrf68486661,2025-06-09,25000,30000,773.06,798,4,0.55,Passed,Passed,False
APP-871014,QVQVlha16179904,2025-08-13,10000,12000,9881.94,744,5,0.19,Passed,Passed,False
APP-116328,FDGxdFK56481491,2025-02-24,10000,12000,6286.27,710,0,0.0,Passed,Passed,False
APP-251964,pAUureK62208635,2025-10-10,50000,60000,665.71,837,8,0.64,Passed,Passed,False
APP-958616,KYtVNpD51870534,2025-06-12,25000,30000,9768.82,716,2,0.48,Passed,Passed,False
APP-117025,AFdjTrf50641383,2025-04-03,25000,30000,1521.15,744,1,0.75,Passed,Passed,False
APP-496550,CroemiX23445655,2025-12-21,25000,30000,5467.72,732,5,0.47,Passed,Passed,False
APP-421825,wzGdRtq49035213,2025-11-01,10000,12000,7942.87,809,0,0.0,Passed,Passed,False
APP-480575,LLqebem00323651,2025-08-14,10000,12000,546.53,765,8,0.35,Passed,Passed,False
APP-502424,jcNNNpP62532447,2025-08-26,10000,12000,305.56,793,8,0.1,Passed,Passed,False
APP-263352,Guyrlbu06578759,2025-03-24,10000,12000,48.7,769,10,0.39,Passed,Passed,False
APP-754877,pLuZVSw80396522,2025-12-11,10000,12000,2614.1,772,8,0.79,Passed,Passed,False
APP-320206,ZivTlZu30870593,2025-02-02,100000,120000,1071.72,794,3,0.3,Passed,Passed,False
APP-392031,PulTJSN15452267,2025-10-12,25000,30000,61.27,759,8,0.63,Passed,Passed,False
APP-676744,FjvVepw02959391,2025-07-09,10000,12000,76.57,796,0,0.0,Passed,Passed,False
APP-228780,AFywIyg41006762,2025-07-02,25000,30000,39.39,472,0,0.0,Passed,Passed,False
APP-390049,MNETbBP52621815,2025-06-07,100000,120000,59.06,800,5,0.42,Passed,Passed,False
APP-096667,sQOMEmg87205061,2025-10-04,25000,30000,3130.95,783,4,0.7,Passed,Passed,False
APP-629602,qCDqorK62565270,2025-12-12,25000,30000,19.53,730,9,0.18,Passed,Passed,False
APP-964991,GKHZKRN79374160,2025-11-28,50000,60000,5170.12,710,1,0.16,Passed,Passed,False
APP-047164,zJurHDa29451168,2025-10-27,25000,30000,9715.6,415,6,0.46,Failed,Passed,False
APP-954584,lrzjNMR64679970,2025-09-25,25000,30000,1852.53,756,1,0.66,Passed,Passed,False
APP-657713,UAMPfmC71324754,2025-09-09,10000,12000,50.76,813,4,0.94,Passed,Passed,False
APP-715342,DdxTmrx90233030,2025-06-19,50000,60000,2102.75,827,7,0.14,Passed,Passed,False
APP-932873,XnoPoRn41406029,2025-02-23,25000,30000,9174.74,762,4,0.3,Passed,Passed,False
APP-276654,RHNzLga66574374,2025-10-04,100000,120000,1548.81,763,4,0.37,Passed,Passed,False
APP-842749,ZZZMzQu44432830,2025-10-09,100000,120000,8037.24,782,5,0.44,Passed,Passed,False
APP-464540,EiVqUZJ58428241,2025-03-11,25000,30000,1263.73,759,4,0.14,Failed,Passed,False
APP-002143,GhRyHtA70999173,2025-05-21,50000,60000,580.32,756,0,0.0,Passed,Failed,False
APP-594538,nWXkKWk75250074,2025-12-28,25000,30000,2584.9,790,9,0.32,Passed,Passed,False
APP-232345,SwtigyG05830033,2025-09-21,25000,30000,68.57,756,7,0.48,Passed,Passed,False
APP-356682,UbLGkhx32603323,2025-12-26,25000,30000,8258.01,705,5,0.6,Passed,Passed,False
APP-896575,tAQgQHr61847230,2025-04-21,10000,12000,69.25,725,5,1.12,Passed,Passed,False
APP-203980,FnSEvpa83564208,2025-02-11,100000,120000,8126.58,791,7,1.0,Passed,Passed,False
APP-376191,ZRuBVhg47012045,2025-11-25,50000,60000,7605.95,600,4,1.34,Passed,Passed,False
APP-770141,iSUdkgA67467621,2025-02-12,25000,30000,642.15,719,9,1.24,Passed,Failed,False
APP-158162,QvHHSSN14508993,2025-03-19,10000,12000,8394.96,763,10,0.55,Passed,Passed,False
APP-539428,rdGoJPy77217535,2025-01-27,10000,12000,143.33,796,7,0.61,Passed,Passed,False
APP-587650,YMNOtGJ16608801,2025-07-30,25000,30000,21.39,726,1,0.66,Passed,Passed,False
APP-163975,JHxSgck71130554,2025-01-09,10000,12000,592.34,810,1,0.34,Passed,Passed,False
APP-792151,QLGiFaH51609177,2025-01-15,25000,30000,1482.0,838,5,0.24,Passed,Passed,False
APP-981009,vsCZiiA58669346,2025-11-09,10000,12000,37.5,775,8,0.69,Passed,Passed,False
APP-430027,LKQTARV28851587,2025-06-28,10000,12000,1231.62,801,2,0.55,Passed,Passed,False
APP-206569,CgNRVJo42043805,2025-04-16,100000,120000,22.94,757,6,0.36,Passed,Passed,False
APP-763808,mXUmsCl39735989,2025-03-05,10000,12000,177.14,715,5,0.67,Passed,Passed,False
APP-326763,XONQtFY57202590,2025-09-11,100000,120000,6154.43,828,3,0.95,Passed,Passed,False
APP-114310,JWPahQw55543987,2025-06-17,25000,30000,18.42,732,7,1.49,Passed,Passed,False
APP-398714,uGfgkXI58877043,2025-02-09,25000,30000,9975.42,717,10,0.2,Passed,Passed,False
APP-264293,oqAyCOz11024819,2025-01-12,50000,60000,46.38,850,0,0.0,Passed,Passed,False
APP-646143,kIoiVzY91476607,2025-07-04,25000,30000,6099.35,725,9,1.46,Passed,Passed,False
APP-381674,PGjkloN88143536,2025-09-16,100000,120000,337.72,736,10,0.44,Passed,Passed,False
APP-289540,muFCvNQ55231491,2025-05-10,100000,120000,9006.17,795,5,0.58,Passed,Passed,False
APP-474389,XtFJglP45257775,2025-04-17,50000,60000,8585.62,626,10,0.17,Passed,Passed,False
APP-528972,xzoXLUs30848872,2025-08-26,10000,12000,2691.42,795,3,0.74,Passed,Passed,False
APP-597989,qxocQnH27503731,2025-07-18,50000,60000,738.61,749,6,0.19,Passed,Passed,False
APP-245540,wwFYEMa91846386,2025-09-23,10000,12000,41.95,731,5,0.59,Passed,Passed,False
APP-421001,bpciKLk17773926,2025-04-20,100000,120000,259.83,723,7,0.51,Passed,Passed,False
APP-996117,AMjYLXl13797723,2025-06-12,25000,30000,70.0,702,10,0.26,Passed,Passed,False
APP-545390,McYIGWh86291279,2025-09-21,10000,12000,3013.93,808,9,1.08,Passed,Passed,False
APP-798662,qEXofsM76599162,2025-12-23,25000,30000,5200.28,795,10,0.46,Passed,Passed,False
APP-692339,xNrRzWn26944869,2025-05-04,10000,12000,43.72,776,5,0.79,Passed,Passed,False
APP-300255,ZJNSRTd37213865,2025-12-10,10000,12000,8248.87,827,9,0.38,Failed,Passed,False
APP-952563,dXlOFCa90669849,2025-06-15,100000,120000,763.06,756,9,0.6,Passed,Passed,False
APP-731252,HaVTefJ14656693,2025-04-24,50000,60000,5565.83,732,2,0.69,Passed,Passed,False
APP-870131,ZGqIYKq81818451,2025-09-27,25000,30000,76.28,807,5,0.56,Passed,Passed,False
APP-117517,psfzRVv35658804,2025-03-28,50000,60000,42.46,436,1,0.43,Passed,Passed,False
APP-358362,XghfRQF43333952,2025-11-22,100000,120000,576.85,804,6,0.14,Failed,Passed,False
APP-921515,IcGwzRX63920867,2025-06-06,25000,30000,384.75,714,2,0.65,Passed,Passed,False
APP-443878,lFBnASW84347955,2025-06-23,25000,30000,618.65,809,2,0.44,Passed,Passed,False
APP-713593,OHIUuYF22702672,2025-05-08,10000,12000,47.36,704,5,0.77,Passed,Passed,False
APP-891054,AhwRMmK45588450,2025-07-16,50000,60000,380.88,776,1,0.37,Passed,Passed,False
APP-256273,kvouuPs25699611,2025-08-11,50000,60000,4902.99,748,10,1.11,Passed,Passed,False
APP-433161,eEJdbXz34132611,2025-10-08,10000,12000,25.99,709,2,0.25,Passed,Passed,False
APP-099286,JCiSIlL00557784,2025-08-30,10000,12000,51.57,705,0,0.0,Passed,Passed,False
APP-784277,sEIaSFW42400825,2025-05-01,10000,12000,5925.54,807,7,0.59,Passed,Passed,False
APP-536720,HWZNZSR26634163,2025-09-10,25000,30000,39.32,827,1,0.46,Passed,Passed,False
APP-750669,Iblgsri49735020,2025-08-05,25000,30000,4221.3,823,6,0.31,Passed,Passed,False
APP-285685,mqyahXT20461872,2025-07-26,10000,12000,68.47,725,10,0.45,Passed,Passed,False
APP-441649,mxdQnhp20881474,2025-03-28,50000,60000,28.49,744,0,0.0,Passed,Passed,False
APP-111568,SIYgiFo71950052,2025-04-26,50000,60000,4833.96,743,1,0.17,Passed,Passed,False
APP-026218,wuUDrMJ84873928,2025-01-16,50000,60000,8906.28,816,1,0.36,Passed,Passed,False
APP-036323,XJjNsuA35186387,2025-09-07,100000,120000,6839.62,481,2,0.18,Passed,Passed,False
APP-185229,MTeanPF78994053,2025-08-29,100000,120000,22.69,733,6,0.65,Passed,Passed,False
APP-656130,HQpKOlJ81138633,2025-11-02,100000,120000,141.38,847,4,0.56,Passed,Passed,False
APP-398714,UuMpKIn75585566,2025-07-06,50000,60000,5671.9,798,9,0.17,Passed,Passed,False
APP-544300,JKKjgcD43350488,2025-06-19,10000,12000,1104.8,825,2,0.45,Passed,Passed,False
APP-457774,yfXdXvw27919409,2025-02-14,25000,30000,5954.46,814,6,0.38,Passed,Passed,False
APP-465183,WMKGfoB25832067,2025-02-05,100000,120000,770.72,805,0,0.0,Passed,Passed,False
APP-332533,JNVHppe27837693,2025-09-15,50000,60000,9011.0,713,8,1.3,Passed,Passed,False
APP-305757,comRxjW42597927,2025-09-08,100000,120000,744.99,787,5,0.6,Passed,Passed,False
APP-660702,NUjSSQb83388487,2025-10-29,50000,60000,731.89,826,0,0.0,Passed,Passed,False
APP-507666,GTguFMI45104636,2025-01-17,10000,12000,3288.6,748,3,0.23,Passed,Passed,False
APP-695085,OqybJro55543840,2025-09-17,10000,12000,7949.31,402,7,0.42,Passed,Passed,False
APP-610689,IRZmitS95782329,2025-05-30,100000,120000,9319.34,782,2,0.58,Passed,Passed,False
APP-532647,XmgilbW05664742,2025-04-09,25000,30000,346.24,831,5,0.78,Passed,Passed,False
APP-141240,ocAWarA52677223,2025-09-04,25000,30000,2808.0,745,9,1.31,Passed,Passed,False
APP-439684,PTYcHgC65699988,2025-07-07,10000,12000,7846.98,836,8,0.44,Passed,Passed,False
APP-359600,jDPCfUG47264908,2025-01-02,10000,12000,1227.45,773,2,0.14,Passed,Passed,False
APP-182087,TCOxfHT71452111,2025-02-08,50000,60000,24.28,843,8,0.12,Passed,Passed,False
APP-388193,sOlhima22206447,2025-09-17,25000,30000,559.83,780,4,0.59,Failed,Passed,False
APP-927191,ljdPwcj03849830,2025-07-04,25000,30000,658.51,850,7,0.68,Passed,Passed,False
APP-938198,uxyeWBJ82795014,2025-06-24,25000,30000,30.59,730,2,0.94,Passed,Passed,False
APP-921650,HKNwiNK17946954,2025-02-05,25000,30000,244.84,782,4,1.18,Passed,Passed,False
APP-817576,ZOnaOmS39660558,2025-09-29,50000,60000,44.34,747,9,0.49,Passed,Passed,False
APP-180867,EjODIvD23557702,2025-09-07,100000,120000,1827.51,835,3,0.72,Passed,Passed,False
APP-522624,KMylMhY12405682,2025-08-06,10000,12000,2032.5,710,5,0.41,Passed,Passed,False
APP-152893,GjmvEUH50317807,2025-03-03,10000,12000,447.29,831,8,0.61,Passed,Passed,False
APP-166517,HXQVtbK40915701,2025-12-13,25000,30000,3882.81,701,1,1.0,Passed,Passed,False
APP-313197,urjTZsK98813858,2025-11-25,25000,30000,878.46,811,6,0.68,Passed,Passed,False
APP-931352,NwtvmTW01662997,2025-09-18,25000,30000,11.66,718,5,0.13,Passed,Passed,False
APP-762559,lSQvYuD73329456,2025-04-01,100000,120000,41.58,716,6,0.4,Passed,Passed,False
APP-765118,pNpJkEy81487696,2025-11-17,10000,12000,4219.3,812,8,0.17,Passed,Passed,False
APP-566516,ltzeMgR19975817,2025-03-20,25000,30000,47.34,736,2,0.62,Passed,Passed,False
APP-172715,TwfLaNG73354946,2025-04-02,50000,60000,961.65,842,0,0.0,Passed,Passed,False
APP-362813,QlEimJy65666683,2025-04-15,100000,120000,47.6,805,1,1.35,Passed,Passed,False
APP-350334,lDGBJCy21267969,2025-05-27,25000,30000,25.46,840,4,0.24,Passed,Passed,False
APP-749687,DHfHNfp51971284,2025-04-29,10000,12000,325.62,760,3,0.61,Passed,Passed,False
APP-446544,kcSMVtU87956544,2025-07-16,50000,60000,44.01,793,5,0.53,Passed,Passed,False
APP-187398,MlLVjQC42944401,2025-08-29,50000,60000,3215.58,784,3,0.6,Passed,Passed,False
APP-125588,dPqWhdk66372395,2025-12-09,50000,60000,538.27,735,1,0.22,Passed,Passed,False
APP-740503,OwBNPrv47658018,2025-10-08,10000,12000,754.68,707,0,0.0,Passed,Passed,False
APP-513465,oUsqmcb10618175,2025-01-20,25000,30000,9156.73,738,8,0.28,Passed,Passed,False
APP-656996,rXBSQXX21244717,2025-09-09,50000,60000,2204.93,742,8,0.46,Passed,Passed,False
APP-387447,nNPgCTq96271286,2025-11-19,25000,30000,762.33,767,7,0.76,Passed,Passed,False
APP-134125,BzUXZYe25690877,2025-09-29,50000,60000,4492.84,833,7,0.72,Passed,Passed,False
APP-834106,JcyQmtS58517432,2025-05-15,25000,30000,36.37,796,6,0.36,Failed,Passed,False
APP-729976,ZCbcvdv37618478,2025-11-03,50000,60000,5381.75,758,7,0.72,Passed,Passed,False
APP-562067,tYgDNkL79032020,2025-08-19,25000,30000,2416.22,729,9,0.6,Passed,Passed,False
APP-393367,Llvehrj51982530,2025-11-09,25000,30000,6825.33,831,6,0.12,Passed,Passed,False
APP-774410,SinjOrH00219467,2025-11-11,50000,60000,930.2,772,8,0.77,Passed,Passed,False
APP-843971,DXOQnrd18195883,2025-10-01,100000,120000,8805.72,746,2,0.25,Passed,Passed,False
APP-182003,FGhepUC70108220,2025-09-03,50000,60000,9301.17,751,9,0.51,Passed,Passed,False
APP-409358,nNDlyxi31797062,2025-03-08,25000,30000,644.96,828,2,0.43,Passed,Passed,False
APP-173203,kKJofAH62534929,2025-01-30,10000,12000,72.79,835,10,0.55,Passed,Passed,False
APP-066646,cBHzEZZ29060078,2025-09-14,100000,120000,34.54,721,9,0.17,Passed,Passed,False
APP-184788,DXiTzlY74279907,2025-07-01,25000,30000,1049.23,730,0,0.0,Passed,Passed,False
APP-978884,RxdhyxD89319508,2025-05-08,50000,60000,4679.61,808,1,0.21,Passed,Passed,False
APP-879579,dexwCFG33554864,2025-06-24,100000,120000,779.47,823,6,0.49,Passed,Passed,False
APP-149179,jnHObsA41124127,2025-11-04,100000,120000,7622.04,451,10,0.18,Passed,Passed,False
APP-619069,CDtKiYt69557988,2025-09-16,10000,12000,2446.64,622,10,0.1,Passed,Passed,False
APP-239510,cuKiCqx84222231,2025-07-16,10000,12000,7520.45,744,6,0.53,Passed,Passed,False
APP-327866,PTsEsWK27520885,2025-07-09,50000,60000,23.63,792,9,0.46,Passed,Passed,False
APP-689984,HoYXrmb75150939,2025-02-23,50000,60000,8017.06,717,5,0.57,Passed,Passed,False
APP-032650,wwtCJfn62656504,2025-08-23,50000,60000,4127.28,701,4,0.26,Passed,Passed,False
APP-052411,AlJDTKW51961064,2025-04-10,10000,12000,5528.52,847,5,1.38,Passed,Passed,False
APP-207651,SPpbhWr44714627,2025-12-31,100000,120000,63.9,707,5,0.77,Passed,Passed,False
APP-335294,wkdrxAO42902572,2025-08-08,25000,30000,57.38,767,3,0.66,Passed,Passed,False
APP-760396,iHsxXFA45189520,2025-11-11,50000,60000,1684.26,748,2,0.43,Passed,Passed,False
APP-108492,HWvlTtb07545279,2025-10-03,50000,60000,286.1,730,3,0.68,Passed,Passed,False
APP-970453,LdEhqce07603108,2025-07-10,10000,12000,63.5,847,8,0.77,Passed,Passed,False
APP-687612,KegLWaH95528938,2025-09-11,50000,60000,458.09,416,9,0.19,Passed,Passed,False
